Ship_Type,Ship_Mode_Detail,Segment,Country,City,State,County_or_State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin (%),Unit Selling Price (After Discount),Profit per Unit,Estimated List Price (Before Discount),Discount Impact (Revenue Lost Due to Discount)
Standard,Class,Corporate,United,States,Houston,Texas,77070,Central,Furniture,Furnishings,51.712,8,60%,-32.32,-63%,6.464,-4.04,16.16,77.568
Standard,Class,Consumer,United,States,Orem,Utah,84057,West,Furniture,Bookcases,1406.86,7,0%,140.686,10%,200.98,20.098,200.98,0
Second,Class,Consumer,United,States,Bellingham,Washington,98226,West,Furniture,Tables,2665.62,9,0%,239.9058,9%,296.18,26.6562,296.18,0
Same,Day,Corporate,United,States,Newark,Ohio,43055,East,Technology,Phones,164.388,2,40%,-35.6174,-22%,82.194,-17.8087,136.99,109.592
Second,Class,Consumer,United,States,Carrollton,Texas,75007,Central,Technology,Accessories,1399.944,7,20%,52.4979,4%,199.992,7.4997,249.99,349.986
Standard,Class,Consumer,United,States,Wheeling,Illinois,60090,Central,Furniture,Furnishings,14.136,2,60%,-7.7748,-55%,7.068,-3.8874,17.67,21.204
Standard,Class,Consumer,United,States,Wheeling,Illinois,60090,Central,Furniture,Tables,601.47,3,50%,-300.735,-50%,200.49,-100.245,400.98,601.47
Standard,Class,Corporate,United,States,Columbus,Indiana,47201,Central,Technology,Phones,587.97,3,0%,158.7519,27%,195.99,52.9173,195.99,0
Standard,Class,Corporate,United,States,Arlington,Texas,76017,Central,Technology,Accessories,24.672,3,20%,0,0%,8.224,0,10.28,6.168
Standard,Class,Corporate,United,States,Arlington,Texas,76017,Central,Furniture,Tables,1218.735,5,30%,-121.8735,-10%,243.747,-24.3747,348.21,522.315
Standard,Class,Corporate,United,States,Arlington,Texas,76017,Central,Furniture,Furnishings,6.096,3,60%,-3.9624,-65%,2.032,-1.3208,5.08,9.144
First,Class,Corporate,United,States,Springfield,Ohio,45503,East,Technology,Accessories,60.864,4,20%,9.1296,15%,15.216,2.2824,19.02,15.216
First,Class,Corporate,United,States,Springfield,Ohio,45503,East,Technology,Machines,652.995,7,70%,-935.9595,-143%,93.285,-133.7085,310.95,1523.655
Standard,Class,Consumer,United,States,Seattle,Washington,98103,West,Furniture,Furnishings,39.96,2,0%,17.1828,43%,19.98,8.5914,19.98,0
Standard,Class,Consumer,United,States,Seattle,Washington,98103,West,Furniture,Chairs,42.624,2,20%,4.2624,10%,21.312,2.1312,26.64,10.656
Standard,Class,Consumer,United,States,Seattle,Washington,98103,West,Furniture,Chairs,220.96,1,20%,24.858,11%,220.96,24.858,276.2,55.24
Second,Class,Consumer,United,States,Tulsa,Oklahoma,74133,Central,Furniture,Furnishings,57.69,3,0%,23.6529,41%,19.23,7.8843,19.23,0
Second,Class,Consumer,United,States,Tulsa,Oklahoma,74133,Central,Furniture,Furnishings,821.88,6,0%,213.6888,26%,136.98,35.6148,136.98,0
Second,Class,Consumer,United,States,Tulsa,Oklahoma,74133,Central,Technology,Phones,104.85,3,0%,28.3095,27%,34.95,9.4365,34.95,0
Standard,Class,Corporate,United,States,Hesperia,California,92345,West,Furniture,Bookcases,424.9575,5,15%,19.998,5%,84.9915,3.9996,99.99,74.9925
Second,Class,Corporate,United,States,Provo,Utah,84604,West,Furniture,Bookcases,1292.94,3,0%,77.5764,6%,430.98,25.8588,430.98,0
Standard,Class,Corporate,United,States,Gilbert,Arizona,85234,West,Furniture,Chairs,883.84,4,20%,99.432,11%,220.96,24.858,276.2,220.96
First,Class,Consumer,United,States,Memphis,Tennessee,38109,South,Furniture,Tables,370.62,3,40%,-142.071,-38%,123.54,-47.357,205.9,247.08
Same,Day,Consumer,United,States,Amarillo,Texas,79109,Central,Technology,Accessories,79.512,3,20%,20.8719,26%,26.504,6.9573,33.13,19.878
Second,Class,Corporate,United,States,Lowell,Massachusetts,1852,East,Furniture,Chairs,785.88,6,0%,212.1876,27%,130.98,35.3646,130.98,0
Standard,Class,Consumer,United,States,Englewood,Colorado,80112,West,Technology,Phones,108.576,3,20%,8.1432,8%,36.192,2.7144,45.24,27.144
Standard,Class,Corporate,United,States,Seattle,Washington,98115,West,Furniture,Furnishings,109.9,5,0%,37.366,34%,21.98,7.4732,21.98,0
Standard,Class,Consumer,United,States,Hialeah,Florida,33012,South,Furniture,Furnishings,15.384,1,20%,4.0383,26%,15.384,4.0383,19.23,3.846
First,Class,Corporate,United,States,Lakewood,Ohio,44107,East,Furniture,Furnishings,45.888,4,20%,9.1776,20%,11.472,2.2944,14.34,11.472
Second,Class,Consumer,United,States,Houston,Texas,77095,Central,Furniture,Furnishings,23.976,3,60%,-14.3856,-60%,7.992,-4.7952,19.98,35.964
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19120,East,Technology,Phones,359.97,5,40%,-71.994,-20%,71.994,-14.3988,119.99,239.98
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19120,East,Furniture,Tables,350.352,4,40%,-140.1408,-40%,87.588,-35.0352,145.98,233.568
First,Class,Consumer,United,States,Toledo,Ohio,43615,East,Technology,Phones,629.958,7,40%,94.4937,15%,89.994,13.4991,149.99,419.972
Standard,Class,Consumer,United,States,Seattle,Washington,98105,West,Technology,Accessories,799.96,4,0%,343.9828,43%,199.99,85.9957,199.99,0
Standard,Class,Consumer,United,States,Seattle,Washington,98105,West,Furniture,Furnishings,107.53,1,0%,21.506,20%,107.53,21.506,107.53,0
Standard,Class,Consumer,United,States,Newark,Delaware,19711,East,Technology,Phones,377.97,3,0%,94.4925,25%,125.99,31.4975,125.99,0
Standard,Class,Consumer,United,States,Newark,Delaware,19711,East,Furniture,Bookcases,299.97,3,0%,56.9943,19%,99.99,18.9981,99.99,0
Standard,Class,Consumer,United,States,Newark,Delaware,19711,East,Technology,Phones,89.98,2,0%,43.1904,48%,44.99,21.5952,44.99,0
First,Class,Corporate,United,States,Hoover,Alabama,35244,South,Technology,Accessories,25.98,2,0%,1.5588,6%,12.99,0.7794,12.99,0
Standard,Class,Consumer,United,States,Franklin,Massachusetts,2038,East,Furniture,Tables,700.056,3,30%,-130.0104,-19%,233.352,-43.3368,333.36,300.024
Standard,Class,Consumer,United,States,Seattle,Washington,98115,West,Furniture,Chairs,585.552,3,20%,73.194,13%,195.184,24.398,243.98,146.388
Standard,Class,Consumer,United,States,Dallas,Texas,75220,Central,Technology,Accessories,50.12,7,20%,-0.6265,-1%,7.16,-0.0895,8.95,12.53
Standard,Class,Consumer,United,States,Dallas,Texas,75220,Central,Technology,Accessories,47.976,3,20%,1.7991,4%,15.992,0.5997,19.99,11.994
Second,Class,Consumer,United,States,Bakersfield,California,93309,West,Furniture,Bookcases,195.466,2,15%,-13.7976,-7%,97.733,-6.8988,114.98,34.494
Standard,Class,Consumer,United,States,Detroit,Michigan,48234,Central,Technology,Phones,257.98,2,0%,74.8142,29%,128.99,37.4071,128.99,0
Standard,Class,Corporate,United,States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,23.988,2,40%,-15.992,-67%,11.994,-7.996,19.99,15.992
Standard,Class,Corporate,United,States,Troy,Ohio,45373,East,Technology,Phones,23.976,4,40%,-15.5844,-65%,5.994,-3.8961,9.99,15.984
First,Class,Corporate,United,States,Miami,Florida,33180,South,Technology,Phones,783.96,5,20%,78.396,10%,156.792,15.6792,195.99,195.99
Second,Class,Consumer,United,States,Seattle,Washington,98115,West,Furniture,Bookcases,704.9,5,0%,56.392,8%,140.98,11.2784,140.98,0
Second,Class,Consumer,United,States,Seattle,Washington,98115,West,Furniture,Chairs,561.568,2,20%,28.0784,5%,280.784,14.0392,350.98,140.392
First,Class,Consumer,United,States,Encinitas,California,92024,West,Furniture,Tables,298.776,3,20%,7.4694,3%,99.592,2.4898,124.49,74.694
Standard,Class,Consumer,United,States,Anaheim,California,92804,West,Technology,Phones,302.376,3,20%,22.6782,8%,100.792,7.5594,125.99,75.594
Standard,Class,Consumer,United,States,Portland,Oregon,97206,West,Technology,Phones,155.976,3,20%,54.5916,35%,51.992,18.1972,64.99,38.994
First,Class,Consumer,United,States,Tallahassee,Florida,32303,South,Technology,Machines,695.7,2,50%,-27.828,-4%,347.85,-13.914,695.7,695.7
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19140,East,Technology,Accessories,36.048,3,20%,-0.9012,-3%,12.016,-0.3004,15.02,9.012
Standard,Class,Corporate,United,States,Woodstock,Illinois,60098,Central,Furniture,Chairs,845.488,8,30%,-12.0784,-1%,105.686,-1.5098,150.98,362.352
Standard,Class,Corporate,United,States,Roswell,Georgia,30076,South,Furniture,Furnishings,56.28,6,0%,15.7584,28%,9.38,2.6264,9.38,0
Standard,Class,Consumer,United,States,Atlanta,Georgia,30318,South,Technology,Accessories,67.8,4,0%,4.068,6%,16.95,1.017,16.95,0
Standard,Class,Consumer,United,States,Atlanta,Georgia,30318,South,Technology,Phones,377.97,3,0%,98.2722,26%,125.99,32.7574,125.99,0
Standard,Class,Consumer,United,States,Atlanta,Georgia,30318,South,Furniture,Bookcases,1628.82,9,0%,374.6286,23%,180.98,41.6254,180.98,0
Standard,Class,Corporate,United,States,Tucson,Arizona,85705,West,Furniture,Chairs,314.352,3,20%,-35.3646,-11%,104.784,-11.7882,130.98,78.588
Standard,Class,Consumer,United,States,Tempe,Arizona,85281,West,Furniture,Chairs,307.92,5,20%,-34.641,-11%,61.584,-6.9282,76.98,76.98
Standard,Class,Consumer,United,States,Houston,Texas,77036,Central,Furniture,Chairs,408.422,2,30%,-5.8346,-1%,204.211,-2.9173,291.73,175.038
Second,Class,Consumer,United,States,Noblesville,Indiana,46060,Central,Technology,Phones,135.72,3,0%,35.2872,26%,45.24,11.7624,45.24,0
Second,Class,Consumer,United,States,Noblesville,Indiana,46060,Central,Technology,Phones,263.96,4,0%,71.2692,27%,65.99,17.8173,65.99,0
Same,Day,Corporate,United,States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,14.368,2,20%,3.9512,28%,7.184,1.9756,8.98,3.592
Same,Day,Corporate,United,States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,70.448,7,20%,12.3284,18%,10.064,1.7612,12.58,17.612
Second,Class,Consumer,United,States,Columbus,Georgia,31907,South,Furniture,Furnishings,18.84,3,0%,7.9128,42%,6.28,2.6376,6.28,0
Standard,Class,Consumer,United,States,Seattle,Washington,98105,West,Technology,Phones,156.792,1,20%,13.7193,9%,156.792,13.7193,195.99,39.198
Standard,Class,Consumer,United,States,Seattle,Washington,98105,West,Technology,Phones,431.976,3,20%,26.9985,6%,143.992,8.9995,179.99,107.994
Standard,Class,Corporate,United,States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,90.99,1,0%,14.5584,16%,90.99,14.5584,90.99,0
Standard,Class,Corporate,United,States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,1526.56,7,0%,427.4368,28%,218.08,61.0624,218.08,0
Standard,Class,Corporate,United,States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,368.97,3,0%,40.5867,11%,122.99,13.5289,122.99,0
Second,Class,Corporate,United,States,Oceanside,California,92054,West,Furniture,Chairs,81.568,2,20%,9.1764,11%,40.784,4.5882,50.98,20.392
Second,Class,Corporate,United,States,Oceanside,California,92054,West,Furniture,Chairs,97.184,2,20%,6.074,6%,48.592,3.037,60.74,24.296
Second,Class,Corporate,United,States,Oceanside,California,92054,West,Furniture,Furnishings,18.96,2,0%,7.584,40%,9.48,3.792,9.48,0
Standard,Class,Consumer,United,States,Skokie,Illinois,60076,Central,Furniture,Furnishings,32.952,6,60%,-19.7712,-60%,5.492,-3.2952,13.73,49.428
Standard,Class,Consumer,United,States,Allen,Texas,75002,Central,Furniture,Tables,244.006,2,30%,-31.3722,-13%,122.003,-15.6861,174.29,104.574
Same,Day,Corporate,United,States,Philadelphia,Pennsylvania,19143,East,Furniture,Chairs,188.552,7,30%,-2.6936,-1%,26.936,-0.3848,38.48,80.808
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,43.296,2,20%,4.3296,10%,21.648,2.1648,27.06,10.824
Standard,Class,Consumer,United,States,Seattle,Washington,98115,West,Furniture,Chairs,123.136,4,20%,13.8528,11%,30.784,3.4632,38.48,30.784
Second,Class,Consumer,United,States,Springfield,Oregon,97477,West,Furniture,Tables,275.49,1,50%,-170.8038,-62%,275.49,-170.8038,550.98,275.49
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,3.984,1,20%,0.6474,16%,3.984,0.6474,4.98,0.996
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19120,East,Technology,Accessories,95.968,4,20%,28.7904,30%,23.992,7.1976,29.99,23.992
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19120,East,Technology,Machines,206.991,3,70%,-172.4925,-83%,68.997,-57.4975,229.99,482.979
First,Class,Consumer,United,States,Murray,Kentucky,42071,South,Furniture,Furnishings,191.82,3,0%,74.8098,39%,63.94,24.9366,63.94,0
Standard,Class,Consumer,United,States,Brownsville,Texas,78521,Central,Furniture,Bookcases,327.7328,2,32%,-14.4588,-4%,163.8664,-7.2294,240.98,154.2272
Standard,Class,Consumer,United,States,Chesapeake,Virginia,23320,South,Furniture,Chairs,504.9,5,0%,80.784,16%,100.98,16.1568,100.98,0
Standard,Class,Corporate,United,States,Gresham,Oregon,97030,West,Technology,Phones,403.168,4,20%,25.198,6%,100.792,6.2995,125.99,100.792
Standard,Class,Consumer,United,States,Gresham,Oregon,97030,West,Furniture,Chairs,195.136,4,20%,-12.196,-6%,48.784,-3.049,60.98,48.784
Standard,Class,Consumer,United,States,Monroe,Louisiana,71203,South,Technology,Accessories,53.7,6,0%,10.203,19%,8.95,1.7005,8.95,0
Standard,Class,Consumer,United,States,Monroe,Louisiana,71203,South,Furniture,Furnishings,29.16,2,0%,10.7892,37%,14.58,5.3946,14.58,0
Standard,Class,Corporate,United,States,Pasadena,California,91104,West,Furniture,Tables,171.288,3,20%,-6.4233,-4%,57.096,-2.1411,71.37,42.822
Standard,Class,Consumer,United,States,Chattanooga,Tennessee,37421,South,Furniture,Furnishings,16.72,5,20%,3.344,20%,3.344,0.6688,4.18,4.18
Second,Class,Consumer,United,States,Troy,Ohio,45373,East,Technology,Phones,1022.97,5,40%,-255.7425,-25%,204.594,-51.1485,340.99,681.98
Standard,Class,Corporate,United,States,Chicago,Illinois,60623,Central,Technology,Copiers,2799.96,5,20%,874.9875,31%,559.992,174.9975,699.99,699.99
Standard,Class,Corporate,United,States,Newark,Ohio,43055,East,Technology,Accessories,119.976,3,20%,22.4955,19%,39.992,7.4985,49.99,29.994
First,Class,Corporate,United,States,Newark,Delaware,19711,East,Technology,Phones,83.97,3,0%,23.5116,28%,27.99,7.8372,27.99,0
First,Class,Corporate,United,States,Newark,Delaware,19711,East,Technology,Accessories,104.97,3,0%,7.3479,7%,34.99,2.4493,34.99,0
Standard,Class,Corporate,United,States,Newark,Delaware,19711,East,Furniture,Furnishings,124.41,3,0%,14.9292,12%,41.47,4.9764,41.47,0
Standard,Class,Consumer,United,States,Houston,Texas,77070,Central,Technology,Accessories,127.984,2,20%,15.998,13%,63.992,7.999,79.99,31.996
Standard,Class,Consumer,United,States,Houston,Texas,77070,Central,Furniture,Furnishings,3.984,2,60%,-2.6892,-68%,1.992,-1.3446,4.98,5.976
Standard,Class,Consumer,United,States,Newark,Delaware,19711,East,Technology,Phones,479.95,5,0%,129.5865,27%,95.99,25.9173,95.99,0
Standard,Class,Consumer,United,States,Seattle,Washington,98105,West,Technology,Machines,837.6,3,20%,62.82,8%,279.2,20.94,349,209.4
Standard,Class,Consumer,United,States,Seattle,Washington,98105,West,Furniture,Chairs,532.704,6,20%,-39.9528,-8%,88.784,-6.6588,110.98,133.176
First,Class,Corporate,United,States,Lakeland,Florida,33801,South,Furniture,Chairs,1123.92,5,20%,-182.637,-16%,224.784,-36.5274,280.98,280.98
First,Class,Corporate,United,States,Lakeland,Florida,33801,South,Technology,Phones,249.584,2,20%,31.198,13%,124.792,15.599,155.99,62.396
First,Class,Corporate,United,States,Lakeland,Florida,33801,South,Furniture,Furnishings,48.672,3,20%,7.3008,15%,16.224,2.4336,20.28,12.168
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,258.528,2,40%,-47.3968,-18%,129.264,-23.6984,215.44,172.352
Second,Class,Consumer,United,States,Cincinnati,Ohio,45231,East,Technology,Accessories,119.96,5,20%,35.988,30%,23.992,7.1976,29.99,29.99
Standard,Class,Corporate,United,States,Austin,Texas,78745,Central,Furniture,Chairs,347.802,7,30%,-24.843,-7%,49.686,-3.549,70.98,149.058
Second,Class,Corporate,United,States,Seattle,Washington,98105,West,Furniture,Chairs,963.136,4,20%,108.3528,11%,240.784,27.0882,300.98,240.784
Second,Class,Corporate,United,States,Seattle,Washington,98105,West,Technology,Phones,88.776,3,20%,7.7679,9%,29.592,2.5893,36.99,22.194
First,Class,Consumer,United,States,Newark,Ohio,43055,East,Technology,Accessories,2025.36,6,20%,607.608,30%,337.56,101.268,421.95,506.34
First,Class,Consumer,United,States,Newark,Ohio,43055,East,Technology,Machines,1799.994,2,70%,-2639.9912,-147%,899.997,-1319.9956,2999.99,4199.986
First,Class,Consumer,United,States,Newark,Ohio,43055,East,Technology,Phones,101.988,2,40%,-16.998,-17%,50.994,-8.499,84.99,67.992
First,Class,Consumer,United,States,Newark,Ohio,43055,East,Furniture,Furnishings,262.864,7,20%,69.0018,26%,37.552,9.8574,46.94,65.716
First,Class,Consumer,United,States,Lansing,Michigan,48911,Central,Furniture,Furnishings,67,5,0%,32.16,48%,13.4,6.432,13.4,0
Standard,Class,Corporate,United,States,Tallahassee,Florida,32303,South,Furniture,Chairs,390.272,8,20%,-24.392,-6%,48.784,-3.049,60.98,97.568
Standard,Class,Consumer,United,States,Chicago,Illinois,60623,Central,Furniture,Chairs,528.43,5,30%,0,0%,105.686,0,150.98,226.47
Second,Class,Corporate,United,States,Columbia,Maryland,21044,East,Technology,Accessories,826.62,3,0%,355.4466,43%,275.54,118.4822,275.54,0
Standard,Class,Corporate,United,States,Lowell,Massachusetts,1852,East,Technology,Phones,69.93,7,0%,32.1678,46%,9.99,4.5954,9.99,0
Second,Class,Consumer,United,States,Akron,Ohio,44312,East,Furniture,Furnishings,149.232,3,20%,3.7308,3%,49.744,1.2436,62.18,37.308
Standard,Class,Corporate,United,States,Fresno,California,93727,West,Technology,Accessories,349.95,5,0%,118.983,34%,69.99,23.7966,69.99,0
Standard,Class,Corporate,United,States,Fresno,California,93727,West,Technology,Phones,377.928,9,20%,141.723,38%,41.992,15.747,52.49,94.482
Standard,Class,Consumer,United,States,Oakland,California,94601,West,Technology,Accessories,149.97,3,0%,52.4895,35%,49.99,17.4965,49.99,0
First,Class,Corporate,United,States,Tempe,Arizona,85281,West,Technology,Phones,318.4,2,20%,107.46,34%,159.2,53.73,199,79.6
First,Class,Corporate,United,States,Tempe,Arizona,85281,West,Technology,Phones,230.376,3,20%,20.1579,9%,76.792,6.7193,95.99,57.594
First,Class,Corporate,United,States,Tempe,Arizona,85281,West,Technology,Accessories,7.16,1,20%,-0.0895,-1%,7.16,-0.0895,8.95,1.79
Same,Day,Consumer,United,States,Fairfield,Connecticut,6824,East,Furniture,Tables,181.797,1,30%,-15.5826,-9%,181.797,-15.5826,259.71,77.913
Standard,Class,Corporate,United,States,Houston,Texas,77095,Central,Furniture,Chairs,318.43,5,30%,-77.333,-24%,63.686,-15.4666,90.98,136.47
Standard,Class,Corporate,United,States,Houston,Texas,77095,Central,Technology,Phones,122.92,7,20%,46.095,38%,17.56,6.585,21.95,30.73
Standard,Class,Corporate,United,States,Houston,Texas,77095,Central,Furniture,Furnishings,7.068,3,60%,-2.8272,-40%,2.356,-0.9424,5.89,10.602
Second,Class,Corporate,United,States,Seattle,Washington,98103,West,Technology,Accessories,49.08,3,0%,4.908,10%,16.36,1.636,16.36,0
First,Class,Consumer,United,States,Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,60.312,3,20%,5.2773,9%,20.104,1.7591,25.13,15.078
Standard,Class,Consumer,United,States,Seattle,Washington,98105,West,Technology,Phones,107.984,1,20%,9.4486,9%,107.984,9.4486,134.98,26.996
Second,Class,Corporate,United,States,Franklin,Tennessee,37064,South,Furniture,Tables,79.974,3,40%,-29.3238,-37%,26.658,-9.7746,44.43,53.316
Standard,Class,Consumer,United,States,Decatur,Alabama,35601,South,Technology,Phones,135.98,2,0%,33.995,25%,67.99,16.9975,67.99,0
Standard,Class,Consumer,United,States,Decatur,Alabama,35601,South,Technology,Phones,44.95,1,0%,12.586,28%,44.95,12.586,44.95,0
Second,Class,Corporate,United,States,Visalia,California,93277,West,Technology,Accessories,7.92,8,0%,3.4848,44%,0.99,0.4356,0.99,0
Second,Class,Corporate,United,States,Alexandria,Virginia,22304,South,Technology,Phones,28.99,1,0%,8.4071,29%,28.99,8.4071,28.99,0
First,Class,Consumer,United,States,Temecula,California,92592,West,Technology,Phones,494.376,3,20%,49.4376,10%,164.792,16.4792,205.99,123.594
First,Class,Consumer,United,States,Temecula,California,92592,West,Technology,Accessories,248.85,5,0%,27.3735,11%,49.77,5.4747,49.77,0
First,Class,Consumer,United,States,Temecula,California,92592,West,Technology,Accessories,36.24,1,0%,15.2208,42%,36.24,15.2208,36.24,0
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19140,East,Technology,Phones,539.964,6,40%,-107.9928,-20%,89.994,-17.9988,149.99,359.976
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,60.312,3,20%,5.2773,9%,20.104,1.7591,25.13,15.078
Second,Class,Corporate,United,States,Laredo,Texas,78041,Central,Technology,Phones,217.584,2,20%,19.0386,9%,108.792,9.5193,135.99,54.396
Second,Class,Corporate,United,States,Laredo,Texas,78041,Central,Technology,Phones,328.776,3,20%,28.7679,9%,109.592,9.5893,136.99,82.194
Second,Class,Corporate,United,States,Laredo,Texas,78041,Central,Technology,Accessories,47.984,2,20%,14.3952,30%,23.992,7.1976,29.99,11.996
Second,Class,Corporate,United,States,Gulfport,Mississippi,39503,South,Furniture,Furnishings,86.45,7,0%,38.038,44%,12.35,5.434,12.35,0
Standard,Class,Consumer,United,States,Columbia,Tennessee,38401,South,Furniture,Chairs,662.88,3,20%,74.574,11%,220.96,24.858,276.2,165.72
Standard,Class,Consumer,United,States,Houston,Texas,77095,Central,Technology,Phones,148.48,2,20%,16.704,11%,74.24,8.352,92.8,37.12
Standard,Class,Consumer,United,States,Houston,Texas,77095,Central,Technology,Phones,241.176,3,20%,15.0735,6%,80.392,5.0245,100.49,60.294
First,Class,Consumer,United,States,Oakland,California,94601,West,Technology,Phones,431.968,4,20%,37.7972,9%,107.992,9.4493,134.99,107.992
First,Class,Consumer,United,States,Oakland,California,94601,West,Furniture,Furnishings,129.92,4,0%,10.3936,8%,32.48,2.5984,32.48,0
First,Class,Consumer,United,States,Oakland,California,94601,West,Furniture,Tables,568.728,3,20%,28.4364,5%,189.576,9.4788,236.97,142.182
Second,Class,Consumer,United,States,Quincy,Massachusetts,2169,East,Furniture,Tables,244.615,1,30%,20.967,9%,244.615,20.967,349.45,104.835
Second,Class,Consumer,United,States,Quincy,Massachusetts,2169,East,Technology,Phones,59.97,3,0%,28.7856,48%,19.99,9.5952,19.99,0
Standard,Class,Corporate,United,States,Bristol,Connecticut,6010,East,Technology,Phones,359.98,2,0%,93.5948,26%,179.99,46.7974,179.99,0
Standard,Class,Corporate,United,States,Bristol,Connecticut,6010,East,Furniture,Tables,70.56,1,30%,-4.032,-6%,70.56,-4.032,100.8,30.24
Standard,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Technology,Accessories,26.176,2,20%,-3.272,-13%,13.088,-1.636,16.36,6.544
Second,Class,Corporate,United,States,Houston,Texas,77036,Central,Furniture,Furnishings,9.552,3,60%,-3.8208,-40%,3.184,-1.2736,7.96,14.328
Same,Day,Consumer,United,States,Norman,Oklahoma,73071,Central,Technology,Accessories,1287.45,5,0%,244.6155,19%,257.49,48.9231,257.49,0
First,Class,Consumer,United,States,Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,24.048,9,20%,7.2144,30%,2.672,0.8016,3.34,6.012
Standard,Class,Corporate,United,States,Richmond,Kentucky,40475,South,Technology,Phones,36.99,1,0%,9.9873,27%,36.99,9.9873,36.99,0
Standard,Class,Consumer,United,States,Houston,Texas,77095,Central,Furniture,Furnishings,65.424,4,60%,-52.3392,-80%,16.356,-13.0848,40.89,98.136
First,Class,Consumer,United,States,Inglewood,California,90301,West,Furniture,Furnishings,128.9,2,0%,15.468,12%,64.45,7.734,64.45,0
First,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Furniture,Furnishings,24.288,3,60%,-12.7512,-53%,8.096,-4.2504,20.24,36.432
Same,Day,Consumer,United,States,Dallas,Texas,75217,Central,Furniture,Furnishings,16.192,2,60%,-8.5008,-53%,8.096,-4.2504,20.24,24.288
Same,Day,Consumer,United,States,Dallas,Texas,75217,Central,Furniture,Tables,251.006,2,30%,-68.1302,-27%,125.503,-34.0651,179.29,107.574
First,Class,Consumer,United,States,Philadelphia,Pennsylvania,19143,East,Technology,Accessories,71.976,3,20%,19.7934,28%,23.992,6.5978,29.99,17.994
First,Class,Consumer,United,States,Philadelphia,Pennsylvania,19143,East,Furniture,Furnishings,22.512,3,20%,2.2512,10%,7.504,0.7504,9.38,5.628
First,Class,Consumer,United,States,Philadelphia,Pennsylvania,19143,East,Technology,Accessories,47.984,2,20%,14.3952,30%,23.992,7.1976,29.99,11.996
Second,Class,Corporate,United,States,Dallas,Texas,75081,Central,Technology,Phones,492.768,4,20%,55.4364,11%,123.192,13.8591,153.99,123.192
Second,Class,Consumer,United,States,Jacksonville,Florida,32216,South,Technology,Accessories,47.992,1,20%,7.1988,15%,47.992,7.1988,59.99,11.998
Standard,Class,Corporate,United,States,Revere,Massachusetts,2151,East,Furniture,Bookcases,361.96,2,0%,83.2508,23%,180.98,41.6254,180.98,0
Standard,Class,Consumer,United,States,Jackson,Mississippi,39212,South,Furniture,Furnishings,133.38,6,0%,58.6872,44%,22.23,9.7812,22.23,0
Standard,Class,Corporate,United,States,Columbus,Ohio,43229,East,Technology,Accessories,18.544,2,20%,3.0134,16%,9.272,1.5067,11.59,4.636
First,Class,Consumer,United,States,Mobile,Alabama,36608,South,Furniture,Furnishings,8.96,2,0%,2.7776,31%,4.48,1.3888,4.48,0
First,Class,Corporate,United,States,Springfield,Virginia,22153,South,Technology,Phones,579.95,5,0%,168.1855,29%,115.99,33.6371,115.99,0
First,Class,Corporate,United,States,Springfield,Virginia,22153,South,Furniture,Furnishings,29.12,4,0%,12.5216,43%,7.28,3.1304,7.28,0
First,Class,Corporate,United,States,Springfield,Virginia,22153,South,Furniture,Tables,1202.94,3,0%,300.735,25%,400.98,100.245,400.98,0
Standard,Class,Consumer,United,States,Mobile,Alabama,36608,South,Technology,Accessories,209.97,3,0%,71.3898,34%,69.99,23.7966,69.99,0
Same,Day,Consumer,United,States,Austin,Texas,78745,Central,Technology,Accessories,95.736,3,20%,20.3439,21%,31.912,6.7813,39.89,23.934
Standard,Class,Consumer,United,States,Plano,Texas,75023,Central,Technology,Phones,201.584,2,20%,20.1584,10%,100.792,10.0792,125.99,50.396
Standard,Class,Consumer,United,States,Plano,Texas,75023,Central,Furniture,Bookcases,193.0656,4,32%,-19.8744,-10%,48.2664,-4.9686,70.98,90.8544
Standard,Class,Consumer,United,States,Plano,Texas,75023,Central,Technology,Machines,418.8,2,40%,-97.72,-23%,209.4,-48.86,349,279.2
